t_ms,V_mV,spike,I0_pA
0.1,-65.0,0,1000.0
0.2,-65.0,0,1000.0
0.3,-65.0,0,1000.0
0.4,-65.0,0,1000.0
0.5,-65.0,0,1000.0
0.6,-65.0,0,1000.0
0.7000000000000001,-65.0,0,1000.0
0.8,-65.0,0,1000.0
0.9,-65.0,0,1000.0
1.0,-65.0,0,1000.0
1.1,-65.0,0,1000.0
1.2,-64.60199334996672,0,1000.0
1.3,-64.20794693227022,0,1000.0
1.4000000000000001,-63.81782134194033,0,1000.0
1.5,-63.43157756609293,0,1000.0
1.6,-63.04917698002857,0,1000.0
1.7,-62.67058134336996,0,1000.0
1.8,-62.29575279623794,0,1000.0
1.9000000000000001,-61.92465385546545,0,1000.0
2.0,-61.55724741084914,0,1000.0
2.1,-61.1934967214384,0,1000.0
2.2,-60.83336541186115,0,1000.0
2.3000000000000003,-60.47681746868632,0,1000.0
2.4,-60.123817236822475,0,1000.0
2.5,-59.77432941595226,0,1000.0
2.6,-59.42831905700234,0,1000.0
2.7,-59.08575155864848,0,1000.0
2.8000000000000003,-58.746592663855374,0,1000.0
2.9,-58.41080845645091,0,1000.0
3.0,-58.078365357734526,0,1000.0
3.1,-57.74923012311931,0,1000.0
3.2,-57.42336983880752,0,1000.0
3.3000000000000003,-57.10075191849918,0,1000.0
3.4,-56.781344100133396,0,1000.0
3.5,-56.46511444266218,0,1000.0
3.6,-56.15203132285623,0,1000.0
3.7,-55.842063432142695,0,1000.0
3.8000000000000003,-55.53517977347417,0,1000.0
3.9,-55.231349658229064,0,1000.0
4.0,-54.93054270314265,0,1000.0
4.1,-54.632728827268764,0,1000.0
4.2,-54.33787824897162,0,1000.0
4.3,-54.04596148294768,0,1000.0
4.4,-53.75694933727709,0,1000.0
4.5,-53.470812910504435,0,1000.0
4.6000000000000005,-53.18752358874859,0,1000.0
4.7,-52.90705304284129,0,1000.0
4.8,-52.629373225494234,0,1000.0
4.9,-52.35445636849428,0,1000.0
5.0,-52.08227497992664,0,0.0
5.1000000000000005,-51.812801841425625,0,0.0
5.2,-51.54601000545283,0,0.0
5.3,-51.28187279260233,0,0.0
5.4,-51.02036378893272,0,0.0
5.5,-50.76145684332571,0,0.0
5.6000000000000005,-50.50512606487099,0,0.0
5.7,-50.251345820277095,0,0.0
5.8,-50.00009073130809,0,0.0
5.9,-65.0,1,0.0
6.0,-65.0,0,0.0
6.1000000000000005,-65.0,0,0.0
6.2,-65.0,0,0.0
6.3,-65.0,0,0.0
6.4,-65.0,0,0.0
6.5,-65.0,0,0.0
6.6000000000000005,-65.0,0,0.0
6.7,-65.0,0,0.0
6.8,-65.0,0,0.0
6.9,-65.0,0,0.0
7.0,-65.0,0,0.0
7.1000000000000005,-65.0,0,0.0
7.2,-65.0,0,0.0
7.3,-65.0,0,0.0
7.4,-65.0,0,0.0
7.5,-65.0,0,0.0
7.6000000000000005,-65.0,0,0.0
7.7,-65.0,0,0.0
7.8,-65.0,0,0.0
7.9,-65.0,0,0.0
8.0,-65.0,0,0.0
8.1,-65.0,0,0.0
8.2,-65.0,0,0.0
8.3,-65.0,0,0.0
8.4,-65.0,0,0.0
8.5,-65.0,0,0.0
8.6,-65.0,0,0.0
8.700000000000001,-65.0,0,0.0
8.8,-65.0,0,0.0
8.9,-65.0,0,0.0
9.0,-65.0,0,0.0
9.1,-65.0,0,0.0
9.200000000000001,-65.0,0,0.0
9.3,-65.0,0,0.0
9.4,-65.0,0,0.0
9.5,-65.0,0,0.0
9.6,-65.0,0,0.0
9.700000000000001,-65.0,0,0.0
9.8,-65.0,0,0.0
9.9,-65.0,0,0.0
10.0,-65.0,0,0.0
10.1,-65.0,0,0.0
10.200000000000001,-65.0,0,0.0
10.3,-65.0,0,0.0
10.4,-65.0,0,0.0
10.5,-65.0,0,0.0
10.6,-65.0,0,0.0
10.700000000000001,-65.0,0,0.0
10.8,-65.0,0,0.0
10.9,-65.0,0,0.0
11.0,-65.0,0,0.0
11.1,-65.0,0,0.0
11.200000000000001,-65.0,0,0.0
11.3,-65.0,0,0.0
11.4,-65.0,0,0.0
11.5,-65.0,0,0.0
11.6,-65.0,0,0.0
11.700000000000001,-65.0,0,0.0
11.8,-65.0,0,0.0
11.9,-65.0,0,0.0
12.0,-65.0,0,0.0
12.1,-65.0,0,0.0
12.200000000000001,-65.0,0,0.0
12.3,-65.0,0,0.0
12.4,-65.0,0,0.0
12.5,-65.0,0,0.0
12.6,-65.0,0,0.0
12.700000000000001,-65.0,0,0.0
12.8,-65.0,0,0.0
12.9,-65.0,0,0.0
13.0,-65.0,0,0.0
13.1,-65.0,0,0.0
13.200000000000001,-65.0,0,0.0
13.3,-65.0,0,0.0
13.4,-65.0,0,0.0
13.5,-65.0,0,0.0
13.6,-65.0,0,0.0
13.700000000000001,-65.0,0,0.0
13.8,-65.0,0,0.0
13.9,-65.0,0,0.0
14.0,-65.0,0,0.0
14.1,-65.0,0,0.0
14.200000000000001,-65.0,0,0.0
14.3,-65.0,0,0.0
14.4,-65.0,0,0.0
14.5,-65.0,0,0.0
14.6,-65.0,0,0.0
14.700000000000001,-65.0,0,0.0
14.8,-65.0,0,0.0
14.9,-65.0,0,0.0
15.0,-65.0,0,0.0
15.1,-65.0,0,0.0
15.200000000000001,-65.0,0,0.0
15.3,-65.0,0,0.0
15.4,-65.0,0,0.0
15.5,-65.0,0,0.0
15.6,-65.0,0,0.0
15.700000000000001,-65.0,0,0.0
15.8,-65.0,0,0.0
15.9,-65.0,0,0.0
16.0,-65.0,0,0.0
16.1,-65.0,0,0.0
16.2,-65.0,0,0.0
16.3,-65.0,0,0.0
16.4,-65.0,0,0.0
16.5,-65.0,0,0.0
16.6,-65.0,0,0.0
16.7,-65.0,0,0.0
16.8,-65.0,0,0.0
16.9,-65.0,0,0.0
17.0,-65.0,0,0.0
17.1,-65.0,0,0.0
17.2,-65.0,0,0.0
17.3,-65.0,0,0.0
17.400000000000002,-65.0,0,0.0
17.5,-65.0,0,0.0
17.6,-65.0,0,0.0
17.7,-65.0,0,0.0
